第11章末問題・問1　森林の手入                               
      地域名                手入れが行われていると思う                 手入れが行われていないと思う         
      北海道                     19                             17               
       東北                     18                             51               
       関東                     89                            336               
       北陸                     9                              31               
       東海                     16                             64               
       近畿                     44                            147               
      中国四国                    20                             88               
      九州沖縄                    26                            106               
